Customer_ID,Age_Group,Region,Subscription_Type,Payment_Method,Delivery_Window,Membership_Length_Months,Monthly_Spend,Average_Order_Value,Orders_Last_3_Months,Delivery_Issues_Last_3_Months,Customer_Service_Tickets,Discount_Used,App_Engagement_Score,Satisfaction_Score,Churned
FB-1033,35-44,Toronto,Family,Credit Card,Afternoon,14,$137.65,$30.36,8,0,0,No,53,3,No
FB-1034,25-34,Markham,Family,Credit Card,Morning,5,$230.86,$114.11,0,0,0,Yes,14,3,No
FB-1035,25-34,Oshawa,Premium,Credit Card,Evening,3,$399.67,$193.95,12,0,0,Yes,51,4,No
FB-1036,35-44,Toronto,Family,PayPal,Evening,4,$232.75,$29.89,4,0,0,No,100,2,Yes
FB-1037,35-44,Mississauga,Family,Apple Pay,Morning,7,$237.99,$125.18,9,0,0,Yes,79,3,Yes
FB-1038,25-34,Mississauga,Basic,Debit Card,Evening,6,$175.87,$42.89,0,1,0,Yes,44,3,No
FB-1039,25-34,Whitby,Family,Credit Card,Afternoon,11,$286.06,$59.00,10,0,0,Yes,64,4,No
FB-1040,25-34,Ajax,Family,Credit Card,Morning,26,$122.41,$25.00,10,0,0,No,49,5,No
FB-1041,25-34,,Family,Credit Card,Evening,10,$297.09,$58.11,6,0,0,No,69,4,No
FB-1042,35-44,Toronto,Basic,Apple Pay,Evening,7,$154.82,$72.39,4,3,2,Yes,74,1,Yes
FB-1043,45-54,Brampton,Basic,Credit Card,Afternoon,10,$60.85,$29.15,4,0,0,No,98,4,No
FB-1044,35-44,Toronto,Premium,Credit Card,Afternoon,14,$371.33,$96.36,7,3,1,No,55,2,Yes
FB-1045,45-54,Brampton,Family,Credit Card,Morning,13,$293.45,$40.85,13,0,1,No,89,5,No
FB-1046,25-34,Toronto,Family,Credit Card,Evening,13,$261.72,$54.60,7,0,1,No,61,3,Yes
FB-1047,45-54,Whitby,Family,Debit Card,Evening,3,$163.68,$43.94,3,0,1,No,47,4,Yes
FB-1048,25-34,Toronto,Family,Credit Card,Evening,6,$336.44,$94.20,7,2,1,Yes,100,4,Yes
FB-1049,25-34,Oshawa,Basic,Debit Card,Morning,28,$177.57,$90.01,9,1,1,Yes,43,4,No
FB-1050,45-54,Mississauga,Basic,Debit Card,Morning,4,$100.82,$45.73,8,0,0,Yes,61,3,Yes
FB-1051,55+,Ajax,Family,Apple Pay,Evening,7,$124.93,$33.71,9,0,0,No,39,3,No
FB-1052,18-24,Oshawa,Family,Credit Card,Morning,10,$172.74,$25.00,5,2,0,Yes,82,3,No
FB-1053,18-24,Mississauga,Basic,Apple Pay,Afternoon,10,$143.15,$25.24,6,0,0,No,72,3,No
FB-1054,45-54,Markham,Family,PayPal,Evening,19,$157.87,$54.05,6,0,0,No,48,5,No
FB-1055,45-54,Whitby,Basic,Debit Card,Evening,15,$124.93,$32.92,5,1,1,No,48,4,No
FB-1056,25-34,Brampton,Family,Apple Pay,Afternoon,9,$310.59,$87.03,8,0,0,Yes,43,4,No
FB-1057,25-34,Markham,Family,Debit Card,Evening,17,$211.75,$39.98,9,0,0,No,43,4,Yes
FB-1058,35-44,Markham,Family,Credit Card,Evening,8,$246.90,$64.54,10,1,1,No,67,5,No
FB-1059,25-34,Whitby,Basic,Credit Card,Afternoon,18,$157.45,$100.97,6,0,0,Yes,66,5,No
FB-1060,25-34,Mississauga,Family,Apple Pay,Afternoon,8,$268.68,$127.02,7,0,0,No,38,5,No
FB-1061,45-54,Brampton,Premium,PayPal,Evening,8,$291.27,$62.95,8,0,0,No,74,5,No
FB-1062,18-24,Oshawa,Family,Credit Card,Evening,15,$255.39,$94.28,11,0,0,No,46,4,No
FB-1063,25-34,Oshawa,Basic,Debit Card,Afternoon,10,$144.37,$48.61,5,0,0,No,26,5,Yes
FB-1064,35-44,Oshawa,Family,Credit Card,Evening,11,$267.24,$143.80,5,0,0,Yes,80,4,No
FB-1065,45-54,Brampton,Family,Credit Card,Evening,7,$167.60,$40.09,7,1,0,No,47,4,No
FB-1066,35-44,Toronto,Premium,Credit Card,Morning,6,$430.83,$224.55,14,0,0,No,98,3,No
FB-1067,55+,Oshawa,Basic,Credit Card,Afternoon,16,$97.48,$42.67,3,0,0,No,83,5,No
FB-1068,35-44,Mississauga,Family,PayPal,Afternoon,26,$162.44,$29.42,5,2,2,No,70,3,No
FB-1069,35-44,Brampton,Basic,Credit Card,Evening,10,$82.22,$54.57,6,0,0,Yes,32,4,No
FB-1070,25-34,Ajax,Premium,Credit Card,Afternoon,10,$202.70,$97.08,12,1,1,No,69,2,Yes
FB-1071,35-44,Toronto,Family,Credit Card,Evening,9,$306.90,$154.08,13,0,1,No,80,5,No
FB-1072,25-34,Toronto,Basic,PayPal,Evening,11,$126.13,$58.22,4,1,0,Yes,97,4,No
FB-1073,35-44,Ajax,Basic,Credit Card,Evening,23,$105.06,$38.51,5,0,1,No,51,5,No
FB-1074,45-54,Toronto,Basic,Apple Pay,Morning,11,$153.47,$61.31,0,2,1,Yes,40,4,Yes
FB-1075,45-54,Markham,Premium,PayPal,Morning,8,$296.48,$53.11,9,0,1,No,73,3,No
FB-1076,18-24,Whitby,Basic,PayPal,Afternoon,5,$117.57,$48.18,2,1,0,Yes,39,4,No
FB-1077,55+,Ajax,Basic,PayPal,Afternoon,2,$127.08,$66.75,4,0,0,No,68,4,Yes
FB-1078,35-44,Mississauga,Basic,Debit Card,Evening,12,$104.60,$54.02,7,0,0,Yes,100,5,No
FB-1079,35-44,Toronto,Premium,Debit Card,Morning,9,$354.44,$169.17,10,0,1,Yes,44,3,No
FB-1080,45-54,Markham,Family,Credit Card,Evening,27,$221.48,$63.92,9,0,0,Yes,40,4,No
FB-1081,35-44,Whitby,Premium,Debit Card,Evening,3,$229.89,$84.63,11,0,0,Yes,70,3,No
FB-1082,35-44,Brampton,Family,Credit Card,Evening,14,$258.62,$47.91,10,2,0,No,70,4,No
FB-1083,25-34,Markham,Family,Debit Card,Evening,6,$249.05,$53.12,13,2,2,No,61,2,Yes
FB-1084,35-44,Markham,Basic,Credit Card,Afternoon,7,$112.63,$38.71,8,0,0,No,91,5,Yes
FB-1085,35-44,Whitby,Basic,Credit Card,Afternoon,15,,$27.38,3,1,1,Yes,44,5,No
FB-1086,18-24,Toronto,Basic,Credit Card,Afternoon,19,$113.55,$33.56,3,0,0,Yes,37,4,Yes
FB-1087,18-24,Markham,Premium,Debit Card,Evening,29,$318.13,$156.50,14,0,0,No,52,2,Yes
FB-1088,35-44,Mississauga,Premium,Debit Card,Morning,11,$311.29,$100.18,11,1,2,Yes,43,4,No
FB-1089,25-34,Toronto,Basic,Credit Card,Morning,8,$103.71,$28.56,7,1,0,No,16,2,Yes
FB-1090,25-34,Whitby,Basic,Credit Card,Evening,3,$122.90,$25.00,5,0,0,Yes,56,4,Yes
FB-1091,25-34,Oshawa,Family,Credit Card,Afternoon,14,$168.13,$44.51,10,1,2,No,58,,No
FB-1092,18-24,Oshawa,Basic,Credit Card,Afternoon,15,$152.61,$47.70,3,0,1,No,36,4,No
FB-1093,25-34,Toronto,Family,Credit Card,Morning,11,$306.14,$138.61,6,0,0,Yes,52,5,No
FB-1094,45-54,Oshawa,Family,PayPal,Morning,14,$239.16,$90.06,8,0,0,No,99,3,No
FB-1095,18-24,Toronto,Basic,Credit Card,Evening,13,$149.48,$60.81,0,1,1,Yes,29,4,No
FB-1096,55+,Oshawa,Basic,Credit Card,Morning,19,$140.26,$25.00,2,1,0,No,59,3,No
FB-1097,25-34,Oshawa,Premium,Debit Card,Afternoon,11,$260.44,$66.17,14,0,0,Yes,60,4,No
FB-1098,25-34,Whitby,Basic,Debit Card,Morning,6,$108.44,$25.00,5,2,1,No,85,5,No
FB-1099,55+,Brampton,Family,Credit Card,Evening,6,$273.10,$54.41,9,1,0,Yes,94,2,Yes
FB-1100,35-44,Ajax,Family,PayPal,Morning,13,$147.02,$64.07,12,0,0,Yes,53,5,No
FB-1101,35-44,Whitby,Family,Credit Card,Afternoon,10,$279.76,$91.68,10,0,0,No,62,3,No
FB-1102,35-44,Whitby,Basic,Credit Card,Evening,36,,$25.00,1,2,1,No,20,4,Yes
FB-1103,25-34,Ajax,Family,Debit Card,Morning,7,$235.25,$43.50,5,1,1,No,58,4,Yes
FB-1104,25-34,Markham,Premium,Debit Card,Afternoon,3,$348.23,$157.39,8,0,0,Yes,,4,No
FB-1105,55+,,Basic,Credit Card,Evening,3,$131.31,$25.00,0,0,0,Yes,68,5,Yes
FB-1106,25-34,Toronto,Premium,Apple Pay,Evening,22,$419.48,$76.94,6,0,0,Yes,57,5,Yes
FB-1107,35-44,Brampton,Family,PayPal,Morning,4,$145.58,$78.71,8,0,0,No,68,5,No
FB-1108,35-44,Ajax,Premium,PayPal,Evening,7,$492.01,$155.76,11,0,0,Yes,52,3,No
FB-1109,35-44,Mississauga,Premium,Credit Card,Afternoon,5,$312.34,$90.53,8,1,1,No,100,3,No
FB-1110,18-24,Whitby,Basic,Credit Card,Afternoon,10,$114.65,$62.76,3,1,1,No,74,3,No
FB-1111,55+,Brampton,Basic,Credit Card,Evening,12,$104.56,$29.90,0,0,0,Yes,26,5,No
FB-1112,45-54,Oshawa,Family,Credit Card,Afternoon,3,$175.30,$85.75,14,0,0,Yes,33,5,No
FB-1113,35-44,Toronto,Family,PayPal,Evening,17,$266.19,$107.34,10,0,2,No,82,1,Yes
FB-1114,18-24,Toronto,Premium,Credit Card,Evening,4,$288.69,$84.64,9,0,0,No,69,4,No
FB-1115,45-54,Ajax,Basic,Credit Card,Afternoon,19,$136.82,$65.62,2,0,0,No,49,3,No
FB-1116,25-34,Markham,Premium,PayPal,Evening,31,$364.35,$172.51,11,0,0,Yes,86,3,No
FB-1117,18-24,Ajax,Premium,Credit Card,Morning,32,$287.30,$144.22,9,0,0,No,48,5,No
FB-1118,25-34,Toronto,Family,Credit Card,Morning,13,$203.17,$108.72,9,0,0,No,80,4,No
FB-1119,25-34,Toronto,Family,Debit Card,Afternoon,6,$153.77,$52.56,9,0,0,No,30,4,Yes
FB-1120,25-34,Oshawa,Basic,Credit Card,Morning,6,$94.92,$25.00,5,0,0,No,83,4,No
FB-1121,35-44,,Family,Credit Card,Afternoon,18,$215.05,$81.10,10,0,0,Yes,70,4,No
FB-1122,18-24,Oshawa,Basic,Apple Pay,Afternoon,16,$160.33,$28.23,6,1,1,Yes,36,3,No
FB-1123,25-34,Oshawa,Basic,Debit Card,Evening,9,$126.13,$30.90,1,0,1,No,33,3,No
FB-1124,45-54,Whitby,Premium,Credit Card,Evening,7,$333.29,$67.80,8,3,2,No,100,1,No
FB-1125,55+,Ajax,Basic,Debit Card,Morning,23,$94.52,$60.94,1,0,0,No,39,5,No
FB-1126,35-44,Ajax,Family,Credit Card,Afternoon,23,,$72.73,8,0,1,Yes,72,4,No
FB-1127,25-34,Whitby,Family,Credit Card,Afternoon,19,$190.10,$115.84,10,0,1,No,64,3,No
FB-1128,25-34,Mississauga,Basic,Debit Card,Morning,17,$116.34,$26.70,5,0,0,No,69,,No
FB-1129,25-34,Toronto,Family,Credit Card,Evening,12,$199.68,$50.91,5,1,1,No,51,3,Yes
FB-1130,18-24,Oshawa,Basic,Credit Card,Evening,13,$158.01,$41.45,3,0,1,No,67,4,Yes
FB-1131,45-54,Markham,Basic,PayPal,Evening,12,$92.42,$28.75,2,0,0,No,60,4,No
FB-1132,25-34,Mississauga,Basic,Debit Card,Afternoon,5,$142.29,$25.00,3,1,0,No,59,2,Yes
FB-1133,18-24,Toronto,Premium,PayPal,Morning,21,$375.62,$62.50,10,0,0,Yes,77,3,No
FB-1134,35-44,Brampton,Basic,Credit Card,Evening,22,$110.00,$79.08,4,0,0,No,78,2,No
FB-1135,35-44,Toronto,Family,Credit Card,Afternoon,16,$273.00,$76.23,5,0,0,No,21,4,No
FB-1136,35-44,Mississauga,Family,PayPal,Afternoon,12,$200.87,$41.96,11,0,0,No,71,4,No
FB-1137,18-24,Mississauga,Family,Credit Card,Morning,19,$201.74,$44.72,10,0,0,Yes,72,3,No
FB-1138,18-24,Toronto,Basic,Credit Card,Morning,15,$87.11,$35.90,5,1,1,Yes,80,4,No
FB-1139,25-34,Mississauga,Basic,Credit Card,Evening,13,$101.77,$25.00,3,0,1,Yes,53,5,No
FB-1140,55+,Oshawa,Basic,Credit Card,Morning,4,$148.40,$40.43,0,1,0,No,,4,No
FB-1141,45-54,Toronto,Family,Credit Card,Morning,17,$226.30,$55.37,9,1,0,No,57,4,No
FB-1142,18-24,Toronto,Basic,Credit Card,Morning,24,$48.64,$25.00,6,0,0,Yes,100,5,No
FB-1143,25-34,Ajax,Basic,Debit Card,Evening,17,$54.11,$29.41,6,0,0,Yes,65,4,Yes
FB-1144,35-44,Toronto,Family,Apple Pay,Afternoon,24,$133.37,$30.61,11,1,0,No,50,5,No
FB-1145,55+,Markham,Basic,Credit Card,Afternoon,3,$126.09,$69.13,5,0,0,No,86,3,No
FB-1146,35-44,Brampton,Premium,Debit Card,Afternoon,9,$338.46,$83.97,11,0,1,Yes,89,1,Yes
FB-1147,25-34,Mississauga,Family,Credit Card,Afternoon,14,$177.71,$26.20,13,1,1,Yes,61,,No
FB-1148,35-44,Toronto,Family,Credit Card,Evening,10,$215.21,$65.51,10,0,0,No,59,3,No
FB-1149,35-44,Markham,Premium,Credit Card,Evening,4,$402.07,$217.57,9,0,0,No,65,3,No
FB-1150,18-24,Toronto,Basic,PayPal,Evening,6,$75.27,$25.00,6,0,0,No,67,4,No
FB-1151,35-44,Markham,Basic,Credit Card,Evening,5,$148.36,$71.80,3,3,1,No,47,2,Yes
FB-1152,18-24,Toronto,Family,PayPal,Morning,6,$179.97,$81.91,6,1,0,No,51,4,No
FB-1153,25-34,Toronto,Premium,Credit Card,Morning,14,$295.62,$60.92,10,0,1,Yes,85,3,No
FB-1154,25-34,Toronto,Premium,Credit Card,Afternoon,17,$237.97,$64.61,6,1,1,Yes,49,4,No
FB-1155,25-34,Oshawa,Basic,Credit Card,Evening,23,$133.05,$43.45,4,1,3,Yes,100,4,No
FB-1156,45-54,Toronto,Premium,Debit Card,Evening,19,$200.76,$97.16,7,0,1,No,92,,Yes
FB-1157,18-24,Toronto,Family,Credit Card,Afternoon,1,$220.41,$61.16,9,0,0,No,66,4,No
FB-1158,35-44,Oshawa,Family,Credit Card,Evening,21,$235.38,$42.68,6,2,2,No,66,4,Yes
FB-1159,35-44,Toronto,Basic,Debit Card,Evening,3,$152.08,$61.08,6,1,2,Yes,57,3,No
FB-1160,45-54,Whitby,Family,Credit Card,Morning,4,,$101.79,7,0,0,No,76,3,No
FB-1161,45-54,Ajax,Premium,Debit Card,Morning,11,$324.66,$81.67,11,0,0,No,62,2,No
FB-1162,25-34,Markham,Family,Debit Card,Afternoon,3,$365.37,$66.82,3,1,0,Yes,88,4,No
FB-1163,25-34,Whitby,Basic,Credit Card,Evening,15,$137.40,$35.53,8,0,0,No,58,4,No
FB-1164,25-34,Toronto,Basic,Credit Card,Afternoon,8,$161.09,$91.33,8,0,0,No,62,3,Yes
FB-1165,35-44,Brampton,Basic,Debit Card,Evening,14,$111.28,$67.10,0,1,1,Yes,39,5,No
FB-1166,18-24,Whitby,Premium,Apple Pay,Afternoon,36,$499.86,$263.00,11,0,0,No,100,4,No
FB-1167,25-34,Toronto,Basic,Debit Card,Evening,36,$107.73,$25.00,9,1,1,No,30,3,No
FB-1168,35-44,Whitby,Family,Credit Card,Evening,12,$225.47,$78.32,8,0,0,No,96,5,No
FB-1169,25-34,Mississauga,Premium,Credit Card,Afternoon,17,$343.31,$90.37,10,1,0,Yes,29,2,Yes
FB-1170,25-34,Mississauga,Family,Credit Card,Morning,9,$272.45,$74.46,4,0,0,Yes,51,4,No
FB-1171,25-34,Toronto,Family,PayPal,Evening,19,$196.18,$70.07,10,0,0,Yes,38,4,Yes
FB-1172,35-44,Markham,Premium,Credit Card,Morning,25,$185.20,$35.95,11,0,0,No,74,3,Yes
FB-1173,55+,Mississauga,Premium,Debit Card,Evening,8,$243.08,$62.01,6,0,1,Yes,33,3,Yes
FB-1174,45-54,Whitby,Premium,Credit Card,Morning,2,$254.97,$34.81,12,0,0,Yes,66,2,No
FB-1175,35-44,Ajax,Premium,PayPal,Evening,4,$302.65,$122.66,16,0,0,No,55,4,No
FB-1176,45-54,Whitby,Basic,PayPal,Evening,8,$94.90,$36.85,6,0,1,No,48,5,No
FB-1177,35-44,Toronto,Family,Debit Card,Morning,8,$263.94,$70.58,9,0,0,No,26,4,No
FB-1178,55+,Mississauga,Family,Debit Card,Afternoon,21,$220.72,$53.06,9,0,0,Yes,83,4,No
FB-1179,25-34,Markham,Family,Credit Card,Evening,12,$278.64,$78.22,10,3,1,No,63,4,No
FB-1180,45-54,Markham,Family,Debit Card,Morning,5,$278.15,$134.47,5,0,0,Yes,51,3,No
FB-1181,35-44,Toronto,Family,Debit Card,Morning,20,$238.88,$83.36,3,1,1,No,38,5,No
FB-1182,35-44,Toronto,Family,Credit Card,Morning,5,$276.28,$58.34,9,0,0,Yes,69,5,No
FB-1183,18-24,Toronto,Family,Credit Card,Morning,25,$218.30,$103.80,9,0,1,No,62,4,No
FB-1184,18-24,Whitby,Basic,Credit Card,Evening,19,$166.50,$25.00,0,0,0,No,50,5,No
FB-1185,25-34,Oshawa,Family,Credit Card,Morning,18,$247.55,$48.46,10,0,0,No,76,3,No
FB-1186,55+,Markham,Family,Credit Card,Afternoon,19,$138.90,$28.70,8,0,0,No,59,4,No
FB-1187,25-34,Whitby,Family,Credit Card,Evening,9,$208.95,$55.84,6,0,0,No,70,3,No
FB-1188,18-24,Whitby,Family,Debit Card,Morning,4,$228.67,$69.06,5,0,0,No,78,2,Yes
FB-1189,35-44,Markham,Family,Credit Card,Afternoon,4,$269.45,$67.52,5,0,0,No,56,4,No
FB-1190,18-24,Mississauga,Basic,Credit Card,Evening,6,$90.49,$34.37,6,0,1,No,40,3,No
FB-1191,45-54,Ajax,Basic,Credit Card,Evening,6,$153.55,$49.03,2,3,3,Yes,43,3,Yes
FB-1192,45-54,Ajax,Family,PayPal,Afternoon,9,$209.31,$74.87,11,0,0,No,30,2,Yes
FB-1193,25-34,Toronto,Family,Credit Card,Afternoon,14,$143.87,$45.84,10,0,0,Yes,46,5,No
FB-1194,35-44,Toronto,Premium,Credit Card,Evening,6,$330.42,$84.79,8,1,1,No,53,4,No
FB-1195,25-34,Whitby,Basic,PayPal,Evening,21,$158.82,$25.00,8,0,0,No,21,3,No
FB-1196,25-34,Markham,Basic,Credit Card,Morning,13,$89.86,$25.00,7,0,0,No,67,4,No
FB-1197,45-54,Markham,Family,PayPal,Afternoon,24,$294.28,$106.41,11,1,0,No,55,3,No
FB-1198,25-34,Brampton,Basic,Debit Card,Afternoon,14,$168.44,$92.53,6,0,1,Yes,100,4,No
FB-1199,18-24,Toronto,Family,Debit Card,Morning,13,$157.30,$30.18,14,0,1,Yes,74,5,Yes
FB-1200,35-44,Mississauga,Basic,PayPal,Afternoon,4,$110.29,$25.00,0,1,0,Yes,51,4,No
FB-1201,25-34,Toronto,Family,Credit Card,Evening,11,$189.72,$81.70,8,0,1,Yes,34,4,Yes
FB-1202,25-34,Oshawa,Family,Debit Card,Afternoon,13,$176.48,$42.06,2,0,0,No,81,3,No
FB-1203,45-54,Toronto,Basic,Credit Card,Afternoon,10,$137.02,$38.46,6,1,0,No,100,4,No
FB-1204,18-24,Mississauga,Family,Apple Pay,Afternoon,17,$246.05,$122.99,9,0,0,No,63,5,Yes
FB-1205,35-44,Oshawa,Basic,Debit Card,Evening,5,$145.78,$25.00,7,0,0,No,62,5,No
FB-1206,25-34,Oshawa,Family,Debit Card,Morning,15,$284.11,$100.86,6,1,1,No,79,3,No
FB-1207,45-54,Toronto,Family,Credit Card,Morning,17,$133.16,$49.10,10,0,0,Yes,80,5,No
FB-1208,18-24,Toronto,Family,Debit Card,Afternoon,21,$186.47,$95.94,11,0,0,Yes,78,3,No
FB-1209,18-24,Brampton,Family,Credit Card,Evening,13,$240.98,$72.25,5,0,0,Yes,76,5,No
FB-1210,25-34,Mississauga,Premium,PayPal,Morning,7,$300.97,$77.09,11,0,0,Yes,83,2,No
FB-1211,35-44,Markham,Family,Credit Card,Morning,5,$261.95,$98.09,10,0,0,No,67,5,No
FB-1212,18-24,Whitby,Basic,Apple Pay,Evening,6,$125.36,$47.94,0,0,0,No,39,5,Yes
FB-1213,18-24,Toronto,Basic,PayPal,Afternoon,11,$146.92,$81.22,7,1,0,No,44,4,No
FB-1214,25-34,Whitby,Family,PayPal,Evening,11,$219.37,$46.77,5,0,0,No,71,4,No
FB-1215,45-54,Oshawa,Basic,PayPal,Afternoon,6,$129.28,$49.36,2,0,0,Yes,38,3,No
FB-1216,25-34,Toronto,Basic,Debit Card,Evening,11,$102.05,$27.06,8,0,0,No,52,4,No
FB-1217,25-34,Mississauga,Basic,Apple Pay,Morning,13,$132.48,$50.52,9,0,0,No,100,4,No
FB-1218,18-24,Oshawa,Basic,Apple Pay,Evening,13,,$83.02,3,0,0,No,67,3,Yes
FB-1219,35-44,,Family,Credit Card,Morning,6,$229.14,$34.82,6,0,1,No,69,4,No
FB-1220,45-54,Toronto,Basic,Apple Pay,Afternoon,6,$83.55,$30.84,4,0,0,No,66,3,No
FB-1221,35-44,Toronto,Basic,Credit Card,Evening,18,$141.38,$25.00,8,4,2,Yes,74,3,No
FB-1222,25-34,Oshawa,Basic,Debit Card,Afternoon,14,$110.41,$25.00,10,0,0,No,47,4,No
FB-1223,25-34,Toronto,Premium,Credit Card,Evening,6,$407.92,$72.93,6,0,0,No,47,5,No
FB-1224,25-34,Mississauga,Basic,Credit Card,Afternoon,13,$84.51,$30.25,4,0,2,No,30,3,Yes
FB-1225,35-44,Oshawa,Basic,Debit Card,Morning,14,$80.95,$25.00,6,0,0,No,82,3,No
FB-1226,45-54,Markham,Family,PayPal,Afternoon,25,$240.94,$50.75,6,0,1,No,55,2,Yes
FB-1227,35-44,Oshawa,Family,Debit Card,Morning,26,$180.45,$35.56,7,0,0,No,81,3,No
FB-1228,35-44,Ajax,Family,Apple Pay,Morning,9,$284.12,$65.86,6,0,0,Yes,68,3,No
FB-1229,45-54,Toronto,Family,Credit Card,Morning,9,$211.68,$70.08,11,2,1,No,38,5,Yes
FB-1230,25-34,Mississauga,Basic,Debit Card,Morning,10,$169.06,$31.17,4,0,0,Yes,,5,No
FB-1231,25-34,Oshawa,Basic,Debit Card,Morning,18,$105.09,$38.42,3,2,1,No,58,4,No
FB-1232,35-44,Brampton,Family,Credit Card,Morning,4,$111.85,$25.00,10,0,1,Yes,59,4,No
FB-1233,25-34,Toronto,Premium,Credit Card,Morning,10,$240.77,$75.79,9,1,0,No,42,4,No
FB-1234,25-34,Mississauga,Family,PayPal,Afternoon,8,$104.62,$25.00,12,0,0,No,65,4,No
FB-1235,45-54,Toronto,Family,Credit Card,Afternoon,9,$276.84,$25.00,7,0,0,Yes,56,3,Yes
FB-1236,25-34,Oshawa,Premium,Credit Card,Evening,20,$368.27,$74.34,19,0,0,No,73,5,No
FB-1237,45-54,Mississauga,Basic,Credit Card,Morning,12,$113.98,$41.01,7,0,0,No,59,3,No
FB-1238,35-44,Markham,Family,Credit Card,Evening,7,$243.99,$98.07,3,0,0,No,64,3,Yes
FB-1239,45-54,Mississauga,Premium,PayPal,Afternoon,6,$284.84,$147.44,6,0,0,Yes,71,3,No
FB-1240,45-54,,Family,Credit Card,Afternoon,27,$273.11,$71.73,8,0,0,No,64,3,No
FB-1241,35-44,Oshawa,Family,Credit Card,Afternoon,14,$186.71,$108.77,11,0,0,Yes,79,4,Yes
FB-1242,25-34,Whitby,Family,Debit Card,Evening,3,$233.09,$123.98,7,0,0,No,86,4,No
FB-1243,25-34,Markham,Basic,PayPal,Morning,8,$132.62,$42.88,3,0,0,Yes,59,4,Yes
